training,validation
2.7078369459915757,2.025912162138146
2.087863083131184,2.1816343099113342
2.01274742406288,1.8147327287640769
1.9096158495692364,1.8438609468629195
1.8514392420701646,1.9265004875289795
1.8413996990342825,2.1668182851406788
1.8528550846615834,1.6622227743932092
1.791077085516732,1.6562849785144822
1.6958678736373836,1.6221073425158754
1.6649485072866128,1.6142192595172993
1.6206165719621506,1.5494203713112888
1.6147924137204102,1.6981845571887022
1.6134541365694186,1.5789318960007845
1.582000845385011,1.5491879828048287
1.5786949014098746,1.5345759597435822
1.5609518925635697,1.5918388800931367
1.5667535501908547,1.5757234828145885
1.5613062004408316,1.6082760803272933
1.5619110105831542,1.5631365172726854
1.5301540633533879,1.4947762913076748
1.528835468557248,1.519484030478444
1.5145329313613602,1.4909948286844166
1.513520860234526,1.5071856816438185
1.5169110182545062,1.4989290987043076
1.5140859133730518,1.475979970671114
1.493580251280739,1.5126863717432835
1.485714898428717,1.5003483115026213
1.4915523002352262,1.5438923585675628
1.479537174775698,1.5004869101965728
1.487161312627365,1.4694152899716457
1.4673415352851455,1.545633303821313
1.4980112891104478,1.493777896335869
1.474192834543187,1.4605364336536968
1.4606511296431912,1.5130029991728742
1.4796801215263904,1.468994699055395
1.4394939495544359,1.4953779757197359
1.4559858080925892,1.490653139943364
1.4649667383583347,1.4658651720236295
1.4382119293726912,1.4694597334974628
1.4311612968882985,1.4859981650221794
1.4601851825371646,1.4576052244807602
1.4236544153665744,1.494102270533161
1.4457147120385245,1.4373258510155886
1.4187390736293415,1.4708841957781886
1.4152550190986575,1.5318654213311393
1.4307045058451373,1.4851684939254304
1.4232326441334313,1.5051760704808284
1.414894281441013,1.473636674401414
1.3963298188434563,1.4737769059097034
1.4035477692004172,1.4586011669447172
1.376244012559679,1.4420880113263796
1.3800371483654792,1.472156723230432
1.3515669050469195,1.5040255706832786
1.3601751029705786,1.4897792462206754
