training,validation
2.8131255708143557,2.080273027114696
1.9118151287063017,1.808699424612007
1.7983549860762695,1.7210298075268053
1.70404486713043,1.7194141446614495
1.6532728148219014,1.694740218488661
1.6286975510069197,1.579601931298606
1.5997218428566968,1.5941328237672152
1.5832224321873702,1.6382830962344677
1.578449658249169,1.5505618508885854
1.5652909001833315,1.5446966499592687
1.550680309201854,1.498527132253496
1.552909111106681,1.5149294080808255
1.5335189244518124,1.4734043413482394
1.5196413375958429,1.4418470535104027
1.5076761772764087,1.475881492655722
1.491374507240381,1.431883229623211
1.4893543672774838,1.4566495628620397
1.4898094724099626,1.4379053508176627
1.4732175496167894,1.4922315207418553
1.4663467573094895,1.4759108441771929
1.448860369256173,1.5678946681395314
1.4493039068406268,1.5345448584829344
1.4460463347303965,1.5402905374767735
1.4186649777516962,1.4846236245012379
1.4099401018652271,1.4775302843603417
1.3898954085091548,1.449774567607595
1.3961961761019404,1.4875739878236152
