training,validation
4.169220305829283,2.1711070289037178
2.2967489428383563,2.018261763146637
2.1590213851353544,1.8782904038170825
2.081885801834681,1.8475425372811969
2.0142025308419504,2.066681981836593
2.0108856896280924,1.8588634217312698
1.996975695640749,1.854962847843244
1.9652421714560233,1.7914846756641958
1.917629432194067,1.9561955044225854
1.9526894662622345,1.7510990580506554
1.875406497825401,1.736969815260413
1.83656724244526,1.7645438838600997
1.850718644455863,1.7191114090325015
1.8237057118821407,1.8124227185604465
1.8184822000319938,1.68564269099559
1.7779147364703694,1.667929783623894
1.7957279822438719,1.651971493210065
1.7458316414992874,1.6174464555750312
1.715077650184879,1.7230836032411798
1.7063680180978216,1.5884123834864563
1.664274003946902,1.568657739069001
1.662293622389043,1.6143789277544942
1.6619371242352805,1.556856718821229
1.6141295369095106,1.552862959622024
1.6615043319776104,1.6013676736861429
1.6408555842507593,1.7065141525848884
1.6010066591337253,1.5327680827783663
1.5973791811686517,1.5013555083182308
1.5887284542238862,1.5805157953143825
1.5735408483886253,1.6380096065954948
1.5670342325348852,1.511262208376063
1.5580577764847825,1.4923719086692542
1.556132330270769,1.5255182660493476
1.5527406071848662,1.5066099145472587
1.5280067425811874,1.5186038252206158
1.5382656234232999,1.4816945546485136
1.542999918705103,1.4995341322714555
1.5030845451722281,1.4848067705106092
1.5096661168631822,1.4997378079665087
1.5091254415792013,1.4910938135302638
1.5048107167156675,1.4960586409959715
1.4874525137666568,1.5156677321494256
1.503109693429795,1.524709495360976
1.5189429956753546,1.47943332963136
1.4792414333414394,1.485247713986398
1.4840760918733318,1.5530761326000198
1.4771550544748426,1.5207165974811512
1.4729274047008571,1.474000515989408
1.4450332828071104,1.5598047928023768
1.4711202172044218,1.4864080885129456
1.4628894741291316,1.5343383061230154
1.453169721030048,1.5028530817196206
1.4490601963071787,1.528406680378274
1.457986722645278,1.5362032574112572
1.424773174928905,1.526097739537563
1.4354114977157726,1.5068683296812668
1.4499398247978075,1.5209086985022955
1.4395413309866407,1.4927380316093384
1.4101816647872807,1.49875686640693
