training,validation
2.141255394130173,1.7204565723897995
1.7243173474047304,1.6329907840891065
1.6181993335601963,1.5984809680059118
1.6162269035036887,1.558765179787254
1.575803373925816,1.5890859612468615
1.5670343260318458,1.6092701130086386
1.549110227806043,1.5852544504033188
1.536277973139615,1.5295042395074199
1.5283455527678118,1.5148123031725564
1.514631393718284,1.5043310792083768
1.500392671900768,1.4974414197929917
1.495073273670451,1.4949229804034976
1.4780326918579678,1.5215316651374402
1.4688911875633583,1.5043821638194876
1.4575647227562212,1.5269427353410698
1.4464579885714024,1.4810562253096862
1.4377795165138134,1.467875115537054
1.4254701518068256,1.4902867084479534
1.4143806119466125,1.459537635299576
1.403081439083195,1.4475892574414224
1.3943212882107654,1.4925958913465942
1.3860359945507363,1.50134449583198
1.3715808601503041,1.471507598836513
1.3634720794866126,1.4609421489488377
1.3513772294151658,1.447421260965191
1.3380192899880408,1.4339291857062346
1.3302845947413944,1.465782605224551
1.3175734817261617,1.422710535394553
1.3089622359298574,1.477208965036588
1.3653318092612092,1.4289176802383965
1.3194263540179159,1.4740604220124778
1.3344261639042827,1.4775633694768566
1.2884603290955035,1.4275624362205253
1.2662957419210423,1.433239866338258
1.2552824684782848,1.426970046865561
1.2542966643763183,1.4434857326123478
1.2365923546092445,1.4529109308929113
1.231601341320656,1.4394072845548187
1.22121263452626,1.435554170302941
