training,validation
2.765941552283504,2.1227592117993597
2.183342349224554,1.948982792183358
2.055167233590999,1.8922014885528367
1.9946751190243648,1.904782673066812
1.941007033776241,1.8077503091707747
1.8997850595130759,1.8362199642690165
1.8958333643222598,1.7506670132965723
1.8703660083496765,1.7296199622933295
1.798370958865066,1.931293464704358
1.7785789609679383,1.693062389721966
1.7359699548392102,1.7214942748332451
1.7068365371458762,1.6580500350881162
1.7061207739418978,1.6116103941644644
1.6836244208693059,1.748342339063657
1.6700764460671182,1.5621130772816232
1.621073131398832,1.6043047865142555
1.6503232143685178,1.6386984411284045
1.6502379138560197,1.5877310633856145
1.6013670262558612,1.548201319918832
1.5851824013831566,1.534729646243477
1.5858749439602207,1.487374178290143
1.606894059638614,1.5814847824352136
1.582581544442834,1.5244354421226265
1.5649494139688698,1.5338145592699226
1.5546316344265276,1.484989423776214
1.5593082651993313,1.4910230415907118
1.526879756578535,1.548888672033988
1.542007748089524,1.4900055172679436
1.5146923748231667,1.5393524215910372
1.5212895513384115,1.5909567934561568
1.5323434742241724,1.4790440098691118
1.506574781890731,1.474057285071532
1.5056896899035397,1.5053366940811692
1.516406181397091,1.5592010088396753
1.4874306303394274,1.483166533234222
1.4872220166123016,1.5182606225252195
1.5119318483593491,1.5429755203628777
1.4808333379145013,1.4613585567369018
1.4831620125892102,1.4542051239885898
1.4697251113277765,1.5149310535002718
1.468343189119044,1.4689164770368972
1.4599601091565315,1.4489055847996473
1.4412420123148333,1.4509947674698886
1.4545347388017857,1.4941239084283349
1.438210640771868,1.4517471021649968
1.4284524318545084,1.45181506701122
1.4327105040706243,1.4583380395589602
1.4289644785761262,1.498334531003318
1.4372395629489316,1.517572834736525
1.3977277116801003,1.5254817799190312
1.4103645659369903,1.503559877435901
1.3967445604374487,1.4694562167761067
1.3841044841184387,1.430836322654103
1.3957446201962194,1.4991562259033484
1.3898238962046103,1.4334785687434108
1.369815598432414,1.511403109517508
1.3709493882428698,1.6213254278961322
1.3658736025576703,1.476966059196387
1.3855643159455429,1.454191456886748
1.3776914188865363,1.4875254944620755
1.3562366990755126,1.4271262075684463
1.3383405566451816,1.4267293943784767
1.3223699550663448,1.484053040109778
1.322925871853777,1.4160571194005298
1.2992641423787024,1.4467403778718697
1.308855501022258,1.4419357863850912
1.2986956773218878,1.4483599265702127
1.2892821271440882,1.4531924574486383
1.3025755027915455,1.4366191937874708
1.3001750769748341,1.4991401613247195
1.2721309733527149,1.4510353431908745
1.2473697890753597,1.4938056691296449
1.2486950937945689,1.4733812330667941
1.2300120495107485,1.4393392267148286
1.2158719739435362,1.4667713074033017
