training,validation
2.6723612717282994,2.02900743426357
2.133087993031647,1.941835642995457
1.9693231463615308,1.824217671844034
1.925187304006325,1.7590322480575655
1.8553872622664065,1.7976723290054026
1.818255511225398,1.675821288215599
1.729896227686301,1.6884278056885889
1.714538759838177,1.6015354997137943
1.6742115272445404,1.5793384318002957
1.6439174043798612,1.680357421117566
1.6494776033888559,1.5521279563448391
1.6218317070098534,1.5590332692711921
1.586213994311872,1.5403215254067522
1.5790876523606467,1.577183636725572
1.5850900590795851,1.516130000415466
1.5574160246293947,1.5351208827084522
1.5620252976427569,1.5944386328351599
1.5408944630054406,1.5160774672706427
1.5514112059572767,1.492378340977541
1.527604445590398,1.5033217851173477
1.5535865864525826,1.5428780706296263
1.525440472389672,1.4891099954729459
1.5107497888019958,1.508096350564607
1.5105485871248157,1.5230333606637785
1.508753869321533,1.483470921748845
1.5083796888996681,1.5057267808143135
1.4906451211123737,1.4824036459112861
1.4876947723258462,1.4830992984739033
1.4807524171890234,1.4757105067561889
1.4947874686601015,1.4726906281343173
1.4675750198955344,1.5132019347531775
1.4778455784050197,1.5308398949794446
1.468933549260905,1.5111400286972314
1.4528171292283956,1.4662842303134374
1.4526465804129192,1.485095404359134
1.458698846215327,1.540667104533918
1.4432698326198303,1.4569569325016036
1.4481710095524347,1.5186252177161412
1.443573109596126,1.4471381310462723
1.4307138417081013,1.4474265717238273
1.4334482780011375,1.4383225292984565
1.4221114722501416,1.4459161244352396
1.4060512146070805,1.4800226235048863
1.427783895288312,1.4413610015299643
1.409629376766928,1.4325173416029442
1.392738333882736,1.457353133575902
1.3846549364951661,1.5262832242956066
1.394507047775842,1.4831735430373436
1.381742689258117,1.4932704754023316
1.3852419940465777,1.555161752913551
1.3805944823218965,1.4455332144451125
1.3592585883301567,1.5156988441878154
1.3538404727515019,1.4873913735172561
1.3553765164908045,1.4532296754712573
1.3711731557910196,1.472039108535363
1.33468658360258,1.4875694840030382
