training,validation
2.5957772400683248,1.9693569383122869
1.99652323789588,1.841164458709852
1.8737160974440978,1.7602017775606253
1.8018519731480676,1.7276305196563646
1.73342257553597,1.7268347426287454
1.6669364972492244,1.6895023475488415
1.6281533148468295,1.636356524896943
1.6005338957456772,1.6741423313075743
1.5713749148296254,1.6281698570368919
1.5562020517809056,1.5501000779668386
1.5519351196992643,1.643019165448232
1.5512780633122802,1.617116954204627
1.527022825772992,1.5957198395431473
1.5571726954570668,1.5436498717604814
1.5119640299177826,1.552528459822519
1.5037069596244519,1.549112721449229
1.5068219733375854,1.6075085302567074
1.4961890008913148,1.5137427558300331
1.489766770310209,1.5317721342772825
1.4880743502854386,1.5304522879057405
1.483750218718675,1.5153015676471044
1.4764884150934054,1.5603321581808722
1.4696552217567616,1.545645565284863
1.4648184944894251,1.5375660839455385
1.4565105441596014,1.5038469188926236
1.459823707328524,1.5148675264535683
1.4525738084713358,1.5089675511334015
1.4441779333459073,1.5046850174737814
1.442212229307953,1.5094894462540618
1.4343836073656298,1.4938079004757567
1.430658366801514,1.4669127396944885
1.4416172543001466,1.4770718498303697
1.4284561002407705,1.487345450851473
1.4523483043565295,1.4638450066105624
1.4219899069010462,1.5244431653565176
1.4375840167327538,1.5116991874749923
1.4182584728667877,1.4771346815256343
1.4024739692863366,1.477744934907473
1.401243780528947,1.4768448423469847
1.3929078516315294,1.4769882849720712
1.3922382746968283,1.4652148577763946
1.3834313108965728,1.4643072524214633
1.378111210838356,1.4799310356903377
1.3760647095990548,1.4469235683965254
1.371217251096613,1.4562040205069582
1.3618044275319054,1.493215446511145
1.357545760450464,1.4961527820225629
1.3565723097892295,1.4801961793832317
1.3553431044721056,1.4739721151545588
1.3470710624220792,1.4494700540394825
1.3437700502334506,1.4204848011869395
1.3436651050979425,1.4528055065410925
1.3474516239585017,1.4841878652566962
1.3839123800254205,1.49186838342728
1.3349567808925273,1.575003907126924
1.3263364188461404,1.4574643618878875
1.3258906066753005,1.4387989250136932
1.3172134091388146,1.4798019517987513
1.3112824209241496,1.458240350983348
1.3141741118812262,1.4391094724048907
1.2994025925656376,1.426405236599759
1.2990705043286532,1.4513534360441294
