training,validation
2.9668264650509233,1.9523434001976143
1.9137097911709993,1.7604601803400568
1.802020159556106,2.0621672561225606
1.7128089548256569,1.781085975206623
1.6560604565984451,1.6116238923702568
1.6131412869056279,1.5631802137833164
1.585528059539079,1.5513441946396835
1.5670812243816308,1.5186059456646612
1.572738103635371,1.6056688511260095
1.5547681038398258,1.4941129067695305
1.5480088809831445,1.4814242550184937
1.554393600368973,1.51565432386251
1.5379007526795172,1.4969514692602528
1.5275141296773236,1.5477613688559455
1.52023467206039,1.5830139942892687
1.520469092620241,1.4830329456268094
1.5107378588693878,1.5093126024853931
1.5056305853370398,1.5148037372045284
1.486716619559182,1.4967443676887155
1.499085143785476,1.4982747479829632
1.4759931029936002,1.4733668965553381
1.4628389529969308,1.4788980933876135
1.4477828719010761,1.448673756844549
1.4622642636696095,1.4830856967048966
1.4482593705254452,1.4578763156457184
1.427820384580953,1.6102467495386428
1.4244661455469387,1.4724603066884452
1.408962633359762,1.4769816167346046
1.3914612498827676,1.4396427074015627
1.3831517599867407,1.4736254068617642
1.356096282242109,1.445888081328115
1.3572093973609196,1.5487867564424453
1.3261370610325596,1.4312332299692012
1.304902602110193,1.466875423269619
1.29696123571868,1.4432713863016362
1.2790009961345647,1.429494439523819
1.265625388843679,1.441825929202194
1.241421111430796,1.4533551587252709
1.2315482707258738,1.4439237911761746
1.2067733826955431,1.4278821748514716
1.1904946828219793,1.4128827812035132
1.178141104121606,1.5233451763292185
1.1532289618333715,1.4381400376561095
1.1489060018153519,1.4610795581624687
1.135999075679089,1.493017722866363
1.1058058125347099,1.4490354970569876
1.0868348872759197,1.43326507039895
1.067227333483871,1.4296030788383145
1.05640308060403,1.4461427793537305
1.043539744059252,1.442778705569253
1.0270019610095322,1.4486938522140038
1.0104640869072934,1.4566979404552582
