training,validation
2.0258620901724123,1.947147410506948
1.7565338580705105,1.7527011779517432
1.6115302430637344,1.5803535678233227
1.5804557833452622,1.560153854801797
1.5708766631704647,1.564939685242984
1.5561737487356353,1.5439005675611195
1.544906692850113,1.534670953149191
1.537371851388322,1.5566287596854371
1.5266801994059287,1.54617811559247
1.5212754709661442,1.5204898770609594
1.5086407792968561,1.5085522640693612
1.5002391725084936,1.546141461751751
1.490005252281728,1.5342527532569716
1.484686538167486,1.5222108415632878
1.4816587229781293,1.4930933488983111
1.4780191961520177,1.494385569181818
1.4662116138135035,1.4997258019290203
1.4590393481027886,1.5042897388085954
1.4501331154918444,1.4877938885220592
1.4481117947410487,1.475251488766022
1.4398677299473648,1.477754887524537
1.4728445802894903,1.4828938562983802
1.6925822912540665,1.4881798924765217
1.5314895687981531,1.4870966209035974
1.4421284485711041,1.4964666161744589
1.430682891003953,1.4818120193926945
1.53514823663783,1.5322794596010063
1.6262331613893468,1.496688157706841
1.4272349005382716,1.4819348382466093
1.4089647998039823,1.4648013788574414
1.4082263493842726,1.4824455426369756
1.399558548151511,1.4712746506180139
1.3951802708569578,1.4633981184057991
1.3864991629645806,1.4666663735835421
1.3798161059445697,1.470444609834948
1.3821671772580917,1.4692130741373046
1.4288809552408204,1.4559310673825134
1.3641370354724824,1.4496854848944951
1.3628009527298566,1.4561952449391855
1.3970354458045342,1.5012429443879483
1.3430579202288502,1.4527498126170666
1.3374148857921793,1.439738943526393
1.338342739755703,1.4323346470571692
1.3234842617145026,1.4545090971789423
1.3211877228800966,1.4760005028375869
1.3132692753886472,1.4552535327835865
1.3154667231182917,1.4356563758176273
1.3677914917839058,1.4465867982799814
1.2971331903043513,1.4346950888978718
1.2899972238640842,1.4385267006154585
2.0532470459922,1.461318175316565
1.2992511618338716,1.4440770661591935
1.279420539055487,1.4524095673012642
1.2735991052903641,1.440685539601434
