training,validation
2.0883827402526633,1.7647163826969066
1.681495855753143,1.6245038057733008
1.6211701416330317,1.6119222418368622
1.5896246895284953,1.5987329118062992
2.044307870238414,1.5956939777835744
1.6073033635621106,1.5583915181639887
1.5600394400101758,1.5526373788452406
1.5507721802304035,1.549194555799225
1.5428526042280368,1.5350914482694695
1.5345737388948641,1.5278264059689284
1.5297496394593235,1.5178168287128992
1.5217603990519022,1.5442318230679108
1.5150416545502086,1.5153079437583676
1.5135550042009212,1.5465466674284938
1.5078752983541115,1.5079504585973527
1.4972669763876931,1.4910183339443743
1.4961354988847286,1.5519273231827644
1.4870642822145033,1.5011852761617215
1.4715742041698716,1.5015296070370692
1.4566932773662014,1.489545145143107
1.454963552253966,1.5140483081944411
1.4627763784317458,1.4820687945573512
1.4430159168556767,1.4476860579896855
1.448492745332411,1.4670109791777992
1.4357026067464642,1.4543773966187383
1.4458752077712897,1.4475869196697426
1.426848515454032,1.4638294141792745
1.417305718936454,1.4367153945014337
1.4039569425275829,1.4587050386240457
1.4035940610015527,1.46516675342458
1.4040456290436458,1.514127396051405
1.43521013174918,1.5187405389251691
1.4248469316644032,1.5005098513502748
1.4007396255718871,1.453001593439745
1.3939422296164792,1.4418273481306683
1.395899842682042,1.455818216360903
1.3823097190458276,1.46119513810913
1.3722990490823739,1.4452208710178456
1.3815094537273243,1.4212634524783705
1.3903941234623973,1.438332986343788
1.371368984284015,1.4331439734495997
1.3681773680744171,1.4221780260268684
1.3523675359865786,1.4244981456446788
1.3484321444466187,1.4289546761929783
1.3757990808700005,1.4447254600535342
1.360365255357218,1.4357583802630163
1.3505263687539797,1.456514513749407
1.3563163906399758,1.4462577867603281
1.3368866366439995,1.4334572409752733
1.3382233065403952,1.4493377945644015
