training,validation
3.192769043695969,1.9221753684515968
2.1211033488256215,1.8354396329556908
2.0287751387531845,1.911332040126919
2.0088095507008545,1.738399746457596
1.873614283553637,1.722046972356914
1.8114259934317178,1.7361782669270063
1.8032437967392572,1.7170538288872725
1.7513091009257784,1.7030283967693096
1.7346695015129348,1.620281659640692
1.6869049949977273,1.5694270114935454
1.6257949874470483,1.58393765348244
1.6291156698876557,1.5321945059015087
1.5863776250763222,1.5457041413221957
1.6046347875286435,1.53323533297255
1.5821529485063,1.6196486919292885
1.5744167956533877,1.5321120759663138
1.5403485391114191,1.5044620001408446
1.5488638384878428,1.60701765244768
1.5266118062343574,1.508670850477486
1.532442550655366,1.5244458414912694
1.5192985512283008,1.489744911233666
1.5098818544589263,1.5136490642523928
1.5128501119868663,1.4979030844073293
1.5141444054908746,1.5038595753074235
1.509431968511919,1.5361504432210191
1.4950635641394374,1.4850430466487123
1.4930893029015921,1.483219442793715
1.4833198405204095,1.5031854327852316
1.477369218218924,1.499085404011921
1.4845572019703328,1.5039867662184558
1.4784872445611694,1.5269453655885605
1.4699493240243144,1.5844826012274755
1.4690765276073885,1.4808997171041225
1.4610577764108124,1.5112254874012734
1.4701474780602286,1.5031901280739817
1.451898970582152,1.5176918017092322
1.4544457808638185,1.565093841566152
1.454751766124917,1.520298242459484
1.4467445288252803,1.5255097762884062
1.436564897057377,1.5391360403040526
1.457302061935839,1.5093536214398515
1.4463878321116568,1.4908181020394482
1.4458419763706305,1.473377505343938
1.4332598669622114,1.4895937691147905
1.4285175846648288,1.4927890092247111
1.4408621229644263,1.5710601522448624
1.4379849044443063,1.5784071741401307
1.4041449649676896,1.5535999150235245
1.4040571574264185,1.4550101326163576
1.422333888355213,1.5159614367988175
1.3929483747917772,1.5535944908179091
1.3813826154427042,1.4951054585794916
1.3812589089693716,1.4727090684864503
1.359443747861996,1.4905768899165563
1.3676692056062274,1.5108176491312746
1.358871509578677,1.4582852272579367
1.3444934005038105,1.4989650240099401
1.3206176670889562,1.4820883895455856
1.3415480480628232,1.618226949451032
1.3265264096949752,1.4787816208607898
