training,validation
2.8316357153998597,1.9823607892927564
2.1472202646470047,1.9030712264157599
1.9346565877873374,1.7614723303893132
1.8379192818682166,1.7968435102274292
1.7359191361840989,1.6817824043646918
1.6612291944841298,1.6827372848504711
1.6326954743194728,1.6085363786349682
1.604964608102257,1.6082278496447173
1.6121716990926274,1.6038299419759408
1.5740390132087,1.6022440748678055
1.5834298368252182,1.5881054975670066
1.564827436068152,1.5612239109024941
1.5563173909963777,1.5752189062140665
1.5384743133149543,1.5645895023410576
1.5450570260992909,1.564947593545808
1.5348989267564783,1.5670017527897275
1.5247039786257182,1.5644322721351227
1.517489730506513,1.5683523194568834
1.5239327963465024,1.5745791786987309
1.5131205457703762,1.5694452528988978
1.5078863358232606,1.556152834980471
1.4966997030384508,1.60626304079395
1.4960981007697147,1.5326924225478824
1.4905830803550078,1.5431952375462343
1.4850600791039528,1.5775210594065279
1.4838636020376863,1.5179411091940849
1.475328182068528,1.521404908716277
1.4775030158403752,1.5741772970416523
1.4622756828380914,1.505047359790706
1.4589222422557013,1.5233703754993717
1.448102231975358,1.5122463468787197
1.4445527711282924,1.508669033769871
1.4531066879128784,1.4960145755066703
1.4317896417190843,1.5294340576380059
1.4297216057161073,1.5065312332741718
1.4264641041819623,1.5060751952045361
1.4162533117793492,1.5004603553703193
1.4071581344705986,1.478859236383567
1.39541968935916,1.4922306039586242
1.3895201826581034,1.5053640993384532
1.382476527468747,1.4976520201972048
1.3752678270449716,1.4694767716250505
1.373320614758499,1.5066500674588046
1.3543794076507187,1.4885345944218134
1.3459369331579423,1.4879541848713709
1.3346686076291017,1.471390628081605
1.3312304353559172,1.497876343849787
1.327592731975942,1.49762286137558
1.3163081558992311,1.4998448738708323
1.2981045435466212,1.4691999943246121
1.321223322166801,1.4610374426697952
1.2871921872507779,1.4787969626436779
1.2781333152489387,1.4746265587216008
1.2641406213424284,1.4555860567350056
1.255292941938822,1.5164433609884143
1.2462516884560424,1.4706136364706528
1.2537608928920159,1.4752544896769053
1.2999006760744678,1.4778435039837472
1.28820662315499,1.473238172832887
1.216126548048763,1.4534541475109093
1.1971819939379353,1.479527565309668
1.1877903194174684,1.4826542829190348
1.1730129522889072,1.5036435053796016
1.1689388611467455,1.4859174865433862
1.140597900664922,1.4818795429660467
1.1472106793789376,1.477378049802291
1.1279847032423642,1.5270245845426327
1.11391376683851,1.4700945898442497
1.1033129119338607,1.5432955499619743
1.0904698224206917,1.4514369809727523
1.0795655947540543,1.4883402164422168
1.0696334725614056,1.475142268213681
1.0512915025436818,1.4678551636542632
1.0549219867609867,1.491967164993443
1.0313053218058241,1.4582160315567059
1.012382355788411,1.4672550425557387
1.0067955993729092,1.5097792147361602
0.9977626836328782,1.4791691412927408
0.9914088974471978,1.5302256349693875
0.9696430021646335,1.4861184622705572
0.9497239865769882,1.5110125950058622
