training,validation
2.4696022113096365,2.1097020213627946
2.1627946321067433,1.8491290229576152
2.026740434549703,1.7798597813902552
1.960695146672168,1.8084752339288621
1.971002148245317,1.7578991732986184
1.8710603371532444,1.7972126380707778
1.8318810419365663,1.6340018815785875
1.8153898870079717,1.6568641091702812
1.738381291883223,1.6349112926084988
1.7197635082424407,1.5753747567974101
1.690619606970996,1.6050102699003452
1.6761337102216545,1.5781195792290064
1.66641454570895,1.5487454635501714
1.6132226132769447,1.5886419456543026
1.6292472639291222,1.56853905121748
1.5794345667169873,1.5289828625999835
1.5900708434152258,1.6297250698871208
1.5908120907450325,1.5239464319079405
1.5820706859873144,1.5005790685520257
1.5508178180309036,1.5181068322501452
1.5450994664874502,1.5594662603034801
1.5479202008807913,1.583629363587876
1.5453405161424214,1.591995946735797
1.5759357896292965,1.4885885243805874
1.5612379766676172,1.5200203316641665
1.5189498868109295,1.5267003429196224
1.5622003268385196,1.4803641312225864
1.5454703940815746,1.568933657670042
1.528766124281931,1.6019848978270534
1.531214676853831,1.5015110293874125
1.5113118848583522,1.471688782987002
1.5124686007879002,1.4669550680642023
1.5391949480328382,1.5255917198831366
1.4962317852914568,1.5153920423556682
1.4976130857049013,1.5250943056063337
1.5126570951566374,1.5089100721390336
1.4897125898546255,1.480420827040525
1.484237474604129,1.4761087152392547
1.4863072141812266,1.5468493876112421
1.4960633441844318,1.4708485392764068
1.4573881878348092,1.4674676119204186
1.463749179145988,1.4701735256066146
1.4738331315877253,1.480007862306661
